neuron_1,neuron_2,neuron_3,neuron_4
0.00,0.00,0.48,0.25
0.00,0.00,0.47,0.27
0.00,0.00,0.46,0.28
0.00,0.00,0.44,0.30
0.00,0.00,0.43,0.32
0.00,0.00,0.42,0.34
0.00,0.00,0.40,0.35
0.00,0.00,0.39,0.37
0.00,0.00,0.37,0.38
0.00,0.00,0.35,0.39
0.00,0.00,0.34,0.40
0.00,0.00,0.32,0.42
0.00,0.00,0.30,0.43
0.00,0.00,0.29,0.44
0.00,0.00,0.27,0.45
0.00,0.00,0.25,0.46
0.00,0.00,0.23,0.46
0.00,0.00,0.22,0.47
0.00,0.00,0.20,0.48
0.00,0.00,0.18,0.49
0.00,0.00,0.17,0.49
0.00,0.00,0.15,0.50
0.01,0.00,0.14,0.50
0.03,0.00,0.12,0.51
0.05,0.00,0.10,0.51
0.07,0.00,0.09,0.51
0.09,0.00,0.07,0.51
0.11,0.00,0.05,0.51
0.13,0.00,0.03,0.50
0.16,0.00,0.01,0.50
0.18,0.00,0.00,0.49
0.20,0.00,0.00,0.48
0.22,0.00,0.00,0.48
0.24,0.00,0.00,0.46
0.26,0.00,0.00,0.45
0.28,0.00,0.00,0.44
0.30,0.00,0.00,0.43
0.31,0.00,0.00,0.41
0.33,0.00,0.00,0.40
0.35,0.00,0.00,0.38
0.36,0.00,0.00,0.37
0.37,0.00,0.00,0.35
0.39,0.00,0.00,0.33
0.40,0.00,0.00,0.32
0.41,0.00,0.00,0.30
0.42,0.00,0.00,0.28
0.43,0.00,0.00,0.27
0.44,0.00,0.00,0.25
0.45,0.00,0.00,0.23
0.46,0.00,0.00,0.22
0.47,0.00,0.00,0.20
0.47,0.00,0.00,0.19
0.48,0.00,0.00,0.17
0.49,0.00,0.00,0.15
0.49,0.01,0.00,0.14
0.50,0.03,0.00,0.12
0.50,0.05,0.00,0.11
0.51,0.07,0.00,0.09
0.51,0.09,0.00,0.07
0.51,0.11,0.00,0.05
0.50,0.13,0.00,0.03
0.50,0.15,0.00,0.01
0.49,0.17,0.00,0.00
0.49,0.19,0.00,0.00
0.48,0.22,0.00,0.00
0.47,0.24,0.00,0.00
0.46,0.26,0.00,0.00
0.45,0.27,0.00,0.00
0.44,0.29,0.00,0.00
0.42,0.31,0.00,0.00
0.41,0.33,0.00,0.00
0.40,0.34,0.00,0.00
0.38,0.35,0.00,0.00
0.37,0.37,0.00,0.00
0.35,0.38,0.00,0.00
0.33,0.39,0.00,0.00
0.32,0.40,0.00,0.00
0.30,0.41,0.00,0.00
0.28,0.43,0.00,0.00
0.27,0.43,0.00,0.00
0.25,0.44,0.00,0.00
0.23,0.45,0.00,0.00
0.22,0.46,0.00,0.00
0.20,0.47,0.00,0.00
0.19,0.47,0.00,0.00
0.17,0.48,0.00,0.00
0.15,0.49,0.01,0.00
0.14,0.49,0.03,0.00
0.12,0.50,0.05,0.00
0.11,0.50,0.07,0.00
0.09,0.50,0.09,0.00
0.07,0.50,0.11,0.00
0.05,0.50,0.13,0.00
0.03,0.50,0.15,0.00
0.01,0.49,0.17,0.00
0.00,0.48,0.19,0.00
0.00,0.48,0.21,0.00
0.00,0.47,0.23,0.00
0.00,0.46,0.25,0.00
0.00,0.45,0.27,0.00
0.00,0.44,0.29,0.00
0.00,0.42,0.30,0.00
0.00,0.41,0.32,0.00
0.00,0.39,0.34,0.00
0.00,0.38,0.35,0.00
0.00,0.36,0.36,0.00
0.00,0.35,0.38,0.00
0.00,0.33,0.39,0.00
0.00,0.32,0.40,0.00
0.00,0.30,0.41,0.00
0.00,0.28,0.42,0.00
0.00,0.27,0.43,0.00
0.00,0.25,0.44,0.00
0.00,0.23,0.45,0.00
0.00,0.22,0.46,0.00
0.00,0.20,0.46,0.00
0.00,0.19,0.47,0.00
0.00,0.17,0.48,0.00
0.00,0.15,0.48,0.01
0.00,0.14,0.49,0.03
0.00,0.12,0.49,0.05
0.00,0.11,0.50,0.07
0.00,0.09,0.50,0.09
0.00,0.07,0.50,0.11
0.00,0.05,0.49,0.13
0.00,0.03,0.49,0.15
0.00,0.01,0.49,0.17
0.00,0.00,0.48,0.19
0.00,0.00,0.47,0.21
0.00,0.00,0.46,0.23
0.00,0.00,0.45,0.25
0.00,0.00,0.44,0.27
0.00,0.00,0.43,0.29
0.00,0.00,0.42,0.30
0.00,0.00,0.41,0.32
0.00,0.00,0.39,0.33
0.00,0.00,0.38,0.35
0.00,0.00,0.36,0.36
0.00,0.00,0.35,0.37
0.00,0.00,0.33,0.39
0.00,0.00,0.31,0.40
0.00,0.00,0.30,0.41
0.00,0.00,0.28,0.42
0.00,0.00,0.27,0.43
0.00,0.00,0.25,0.44
0.00,0.00,0.23,0.45
0.00,0.00,0.22,0.45
0.00,0.00,0.20,0.46
0.00,0.00,0.18,0.47
0.00,0.00,0.17,0.47
0.00,0.00,0.15,0.48
0.01,0.00,0.14,0.49
0.03,0.00,0.12,0.49
0.05,0.00,0.11,0.49
0.07,0.00,0.09,0.49
0.09,0.00,0.07,0.49
0.11,0.00,0.05,0.49
0.13,0.00,0.03,0.49
0.15,0.00,0.01,0.48
0.17,0.00,0.00,0.48
0.19,0.00,0.00,0.47
0.21,0.00,0.00,0.46
0.23,0.00,0.00,0.45
0.25,0.00,0.00,0.44
0.27,0.00,0.00,0.43
0.29,0.00,0.00,0.42
0.30,0.00,0.00,0.40
0.32,0.00,0.00,0.39
0.33,0.00,0.00,0.37
0.35,0.00,0.00,0.36
0.36,0.00,0.00,0.34
0.37,0.00,0.00,0.33
0.39,0.00,0.00,0.31
0.40,0.00,0.00,0.30
0.41,0.00,0.00,0.28
0.42,0.00,0.00,0.26
0.43,0.00,0.00,0.25
